;mapped_veh_id;timestamps_UTC;lat;lon;RS_E_InAirTemp_PC1;RS_E_InAirTemp_PC2;RS_E_OilPress_PC1;RS_E_OilPress_PC2;RS_E_RPM_PC1;RS_E_RPM_PC2;RS_E_WatTemp_PC1;RS_E_WatTemp_PC2;RS_T_OilTemp_PC1;RS_T_OilTemp_PC2
82;181;2023-08-24 00:43:26;51.1905501;5.1127646;35.0;31.0;286.0;282.0;802.0;801.0;75.0;71.0;65.0;68.0
83;116;2023-08-01 15:53:39;50.8111188;3.6170216;40.0;35.0;200.0;165.0;796.0;794.0;83.0;81.0;84.0;80.0
84;181;2023-08-24 01:02:32;51.190402;5.112142;37.0;30.0;248.0;231.0;802.0;799.0;82.0;81.0;75.0;77.0
85;121;2023-08-01 16:15:53;50.4039184;4.438021;42.0;36.0;217.0;186.0;796.0;799.0;87.0;88.0;85.0;82.0
86;179;2023-08-01 16:30:31;51.0502765;5.2364716;38.0;39.0;410.0;376.0;1932.0;1915.0;81.0;83.0;80.0;91.0
87;143;2023-08-01 16:50:34;50.8048671;3.8488492;38.0;37.0;220.0;272.0;805.0;801.0;85.0;82.0;85.0;84.0
88;136;2023-08-24 03:21:35;51.1740283;4.8097319;40.0;31.0;213.0;258.0;802.0;797.0;83.0;84.0;82.0;82.0
89;137;2023-08-24 03:28:20;50.9359467;5.3123061;29.0;30.0;227.0;217.0;797.0;816.0;81.0;76.0;74.0;70.0
90;182;2023-08-24 03:40:56;51.0358437;3.7098144;23.0;31.0;207.0;207.0;799.0;798.0;78.0;76.0;77.0;75.0
91;114;2023-08-01 18:26:27;51.2152655;5.4133746;37.0;40.0;189.0;179.0;796.0;794.0;85.0;87.0;85.0;89.0
92;122;2023-08-24 03:59:13;51.1803275;3.5757333;37.0;29.0;189.0;251.0;820.0;802.0;78.0;80.0;78.0;0.0
93;181;2023-08-24 04:19:31;51.1792931;4.8240002;40.0;37.0;217.0;203.0;802.0;797.0;84.0;86.0;87.0;92.0
94;151;2023-08-01 20:44:39;50.9858306;5.3490249;38.0;30.0;324.0;369.0;1703.0;1300.0;85.0;88.0;85.0;93.0
95;181;2023-08-24 05:26:20;51.1494773;4.5217476;48.0;41.0;213.0;196.0;799.0;797.0;87.0;89.0;81.0;87.0
96;121;2023-08-24 05:26:38;50.4662374;3.9480789;40.0;36.5;217.0;213.0;789.0;800.5;86.5;87.0;85.5;84.5
97;159;2023-08-24 05:28:50;50.7889456;3.8698801;35.0;26.0;324.0;414.0;1316.0;1331.0;82.0;84.0;84.0;87.0
98;179;2023-08-24 05:34:59;51.1596176;4.664623;38.0;40.0;396.0;372.0;1981.0;1956.0;82.0;83.0;82.0;84.0
99;121;2023-08-24 05:40:30;50.4612196;3.9480565;40.0;36.0;217.0;217.0;814.0;808.0;85.0;81.0;87.0;86.0
